Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,Player_id,Squad_id,Sh,SoT,G_by_Sh,G_by_SoT,Dist,FK,npxG_by_Sh,G-xG,np:G-xG,Total_Cmp,Total_Att,Total_TotDist,Total_PrgDist,xA,A-xAG,KP,LastThird,PPA,CrsPA,Prog,SCA,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def3rd,Tackles_Mid3rd,Tackles_Att3rd,VsDribbles_Tkl,VsDribbles_Att,VsDribbles_Past,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl_plus_Int,Clr,Err,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog,Mn_by_MP,Mn_by_Start,Compl,Subs,Mn_by_Sub,unSub,TS_PPM,TS_onG,TS_onGA,TS_Diff,TS_On-Off,TS(xG)_onxG,TS(xG)_onxGA,TS(xG)_xGDiff,TS(xG)_On-Off,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerialDuels_Won,AerialDuels_Lost,Cmp,Start_Year
Teresa Abilleira,es ESP,MF,Real Madrid,22-333,2000.0,9,7,648,3,1,3,0,0,0,0,1.2,1.2,1.1,46f75f0c,54582b93,15.0,6.0,0.2,0.5,24.2,2.0,0.08,1.8,1.8,384,478.0,7624.0,2570.0,0.8,-0.1,12.0,64.0,5.0,1.0,38.0,30.0,22.0,8.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,21.0,15.0,4.0,12.0,5.0,8.0,12.0,4.0,5.0,0.0,5.0,4.0,25.0,2.0,0.0,552.0,8.0,122.0,332.0,103.0,3.0,552.0,7.0,10.0,15.0,6.0,366.0,10.0,72.0,85.0,5,2,27.0,1.0,2.44,26.0,8.0,18.0,1.43,12.6,7.6,5.0,0.32,0,15.0,13.0,0.0,18.0,15.0,0.0,0.0,0,52.0,4.0,5.0,0.0,2018.0
Jessica Aby,ci CIV,"FW,MF",Alavés,24-175,1998.0,10,4,383,1,0,1,0,0,3,0,1.2,1.2,0.2,72c566fe,aa11fb42,4.0,3.0,0.25,0.33,11.9,0.0,0.29,-0.2,-0.2,66,111.0,1084.0,213.0,0.2,-0.2,6.0,7.0,0.0,0.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,5.0,5.0,3.0,3.0,5.0,2.0,1.0,0.0,1.0,3.0,16.0,8.0,0.0,156.0,8.0,39.0,75.0,46.0,12.0,156.0,4.0,7.0,12.0,6.0,94.0,12.0,38.0,63.0,0,6,22.0,1.0,0.6,4.0,13.0,-9.0,-0.04,4.7,8.5,-3.8,0.69,0,19.0,8.0,2.0,3.0,7.0,0.0,0.0,0,21.0,6.0,11.0,0.0,2021.0
Charity Adule,,FW,Alhama,29-031,1993.0,1,0,14,0,0,0,0,0,0,0,0.0,0.0,0.0,67a39a11,e9fecaf2,0.0,0.0,,,,0.0,,0.0,0.0,1,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,14.0,,0,1,14.0,,0.0,0.0,0.0,0.0,1.57,0.1,0.2,-0.1,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,2009.0
Júlia Aguado,,"FW,MF",Levante,22-220,2000.0,5,0,50,3,0,3,0,0,0,0,1.8,1.8,0.0,a097ef45,0f4738a8,4.0,4.0,0.75,0.75,9.3,0.0,0.45,1.2,1.2,7,11.0,69.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,5.0,13.0,6.0,18.0,0.0,3.0,1.0,0.0,16.0,5.0,10.0,,0,5,10.0,5.0,2.6,4.0,0.0,4.0,6.05,2.6,0.1,2.5,3.32,0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2.0,1.0,0.0,0.0,2016.0
Yolanda Aguirre,es ESP,GK,Sevilla,24-046,1998.0,4,4,360,0,0,0,0,0,0,0,0.0,0.0,0.0,150b2d3b,215d9026,0.0,0.0,,,,0.0,,0.0,0.0,75,111.0,2089.0,1461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,129.0,116.0,128.0,1.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,35.0,0.0,90.0,90.0,4,0,,7.0,0.75,7.0,10.0,-3.0,-1.04,5.1,7.3,-2.1,-1.31,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.0,1.0,0.0,2019.0
Rasheedat Ajibade,ng NGA,FW,Atlético Madrid,23-000,1999.0,11,8,706,4,1,4,0,0,0,0,6.3,6.3,0.8,77448ed7,b56c2667,36.0,17.0,0.11,0.24,13.4,0.0,0.18,-2.3,-2.3,126,200.0,2087.0,551.0,1.1,0.2,8.0,14.0,8.0,3.0,14.0,26.0,17.0,1.0,3.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,2.0,4.0,2.0,1.0,3.0,2.0,6.0,0.0,6.0,3.0,11.0,0.0,0.0,307.0,1.0,18.0,108.0,186.0,62.0,307.0,15.0,23.0,35.0,25.0,246.0,57.0,64.0,80.0,4,3,23.0,,2.09,17.0,11.0,6.0,0.13,14.6,7.2,7.3,-0.05,0,11.0,16.0,7.0,19.0,4.0,1.0,0.0,0,39.0,7.0,4.0,0.0,2021.0
Henriette Akaba,cm CMR,DF,Levante Planas,30-184,1992.0,1,0,7,0,0,0,0,0,0,0,0.2,0.2,0.0,e938c5ba,753b93a5,2.0,0.0,0.0,,10.6,0.0,0.08,-0.2,-0.2,1,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,,0,1,7.0,6.0,0.0,0.0,0.0,0.0,1.46,0.2,0.1,0.1,1.84,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2008.0
Albeta,,DF,Villarreal,21-116,2001.0,1,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,4f3341b5,7a7bef84,0.0,0.0,,,,0.0,,0.0,0.0,2,4.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,,0,1,7.0,4.0,0.0,0.0,0.0,0.0,1.65,0.1,0.2,-0.1,-1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2017.0
Ainhoa Alguacil,,"MF,FW",Valencia,16-334,2006.0,6,4,296,0,1,0,0,0,0,0,0.0,0.0,0.5,450dbe8a,f96ff499,1.0,0.0,0.0,,31.6,0.0,0.02,0.0,0.0,70,96.0,1246.0,374.0,0.4,0.5,10.0,6.0,5.0,2.0,11.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,4.0,1.0,4.0,2.0,0.0,128.0,5.0,24.0,61.0,45.0,3.0,128.0,3.0,3.0,11.0,11.0,80.0,12.0,49.0,61.0,0,2,27.0,1.0,0.67,3.0,3.0,0.0,-0.39,1.9,3.9,-2.0,-1.13,0,1.0,4.0,0.0,3.0,2.0,0.0,0.0,0,26.0,0.0,1.0,0.0,2018.0
María Alharilla Casado,es ESP,"DF,MF",Levante,32-025,1990.0,3,0,100,0,0,0,0,0,0,0,0.0,0.0,0.0,9581d587,0f4738a8,1.0,0.0,0.0,,31.4,0.0,0.02,0.0,0.0,49,61.0,744.0,362.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,0.0,2.0,2.0,9.0,3.0,0.0,79.0,4.0,15.0,40.0,24.0,1.0,79.0,0.0,2.0,2.0,1.0,32.0,5.0,33.0,,0,3,33.0,1.0,3.0,7.0,1.0,6.0,4.39,4.3,0.8,3.4,1.97,0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0,9.0,0.0,0.0,0.0,2008.0
